Month,PIC,Pemasok,Kategori Pemasok,Kategori Barang,Nama Cabang,Kode #,#Prime.Qty,#Purch.Total,min,max
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Perizinan [NP COST RESTO],CBIMAY,410013,1.0,0.0,0.0,0.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Jasa Lainnya (Badan Usaha) [NP RESTO],TNGCIL,410148,1.0,2450000.0,2450000.0,2450000.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,BKSALT,200213,56000.0,32200000.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,BKSJUA,200212,94000.0,75670000.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,BKSJUA,200213,48000.0,27600000.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,BKSWIB,200212,69500.0,55947500.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,KYBKES,200213,82500.0,47437500.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,KYBKES,200212,117500.0,94587500.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,KYBFAT,200213,41000.0,23575000.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,KYBFAT,200212,52000.0,41860000.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,GGPDAA,200213,104000.0,59800000.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,GGPDAA,200212,147000.0,118335000.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,CPTPUS,200213,52000.0,29900000.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,CPTPUS,200212,101500.0,81707500.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,CPTCIA,200213,37500.0,21562500.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,CPTCIA,200212,68500.0,55142500.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,CKGPAH,200213,61000.0,35075000.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,CKGPAH,200212,100000.0,80500000.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,CKGBOU,200213,70500.0,40537500.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,CKGBOU,200212,109000.0,87745000.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,BKSWIB,200213,45500.0,26162500.0,575.0,575.0
January,LAINNYA,PRIMARAMA TANDIPUANG,VENDOR SDG,Biaya Jasa Lainnya [NP Resto],MKSALA,410141,1.0,4209800.0,4209800.0,4209800.0
January,LAINNYA,PT. ATLAS ES - NEW,CORPORATE,Biaya Bahan Pembantu [NP COST RESTO],SMGSOE,410105,7850.0,5769750.0,735.0,735.0
January,LAINNYA,PRIMANIA GROUP - HO,NON-BAHAN,00.COST,PELTU,200708,155000.0,84568000.0,545.6,545.6
January,LAINNYA,PLN (PERUSAHAAN LISTRIK NEGARA),VENDOR SDG,Pemeliharaan Listrik [NP RESTO],TGRKUT,410004,1.0,40213500.0,40213500.0,40213500.0
January,LAINNYA,PD. GUMILANG ABADI - NEW,Umum,01. COST - PACKAGING,SORTAM,200196,1000.0,297500.0,297.5,297.5
January,LAINNYA,PD. GUMILANG ABADI - NEW,Umum,01. COST - PACKAGING,SORKOP,200707,99000.0,10890000.0,110.0,110.0
