Month,Nama Barang,AVG PICK UP,AVG PEMBELIAN,AVG SALDO AKHIR,Kategori
March,HAND DRAYER,10.0,,42,
March,HARD COVER HIMBAUAN,46.0,,231,
March,HARD COVER MENU DIMSUM,197.0,300.0,694,
March,JIGGER UK 20/30,39.0,70.0,115,
March,JIGGER UK 20/40,29.0,50.0,121,
March,JIGGER UK 30/40,45.0,50.0,92,
March,KESET KOTAK KARET LUBANG,79.0,80.0,4,
March,KLAKAT DIMSUM,9166.0,15300.0,5496,
March,KLAKAT PREMIUM,125.0,,,
March,KNOP BOILER/WATER TAP HEAD,,,71,MAINTENANCE
March,KNOP F/GAS COOK DIAL,,,41,MAINTENANCE
March,KONTAINER PERFORATED,40.0,50.0,78,
March,KONTAINER SOLID,24.0,645.0,44,
March,LADIES STICKER,29.0,190.0,250,
March,LEFT WATER TAP-RIGHT 02303964 (PD.2458E2,,,71,MAINTENANCE
March,LOCKER SET,80.0,,184,
March,LOGGER,475.0,934.0,498,
March,MAGNET D 22 W/TREADED BOLT (SP),,30.0,36,MAINTENANCE
March,MESIN CUP SEALER,21.0,,109,
March,MOB BUCKET (ALAT PEL SET),15.0,40.0,42,
March,MUKENA,26.0,75.0,79,
March,NAMPAN KARET BULAT,73.0,132.0,181,
March,NAMPAN KARET KOTAK (DIMSUM),320.0,,265,
March,NAMPAN KAYU KOTAK,198.0,168.0,41,
March,PALLET BIRU (DRY),103.0,132.0,53,
March,PALLET HIJAU (FROZEN),93.0,135.0,87,
March,PANCI DANDANG DIMSUM UK 36,60.0,118.0,90,
March,PANCI ENDAPAN MINYAK UK 40,34.0,78.0,48,
March,PANCI KUKUS TAHU UK 36,2.0,,34,
March,PANCI MIE,2011.0,4800.0,3514,
March,PANCI ORCHID UK 28,8.0,20.0,20,
March,PANCI ORCHID UK 32 CM,32.0,98.0,134,
March,PANCI ORCHID UK 36,59.0,99.0,105,
March,PAPAN AWAS LANTAI LICIN,19.0,20.0,47,
March,PAPAN TULIS,18.0,15.0,41,
March,PEMATIK KOMPOR,24.0,,96,MAINTENANCE
March,PEMBATAS ANTRIAN,46.0,88.0,72,
March,PEMUKUL DAGING,38.0,,133,
March,PIEZO IGNITER UK 18.MM,,50.0,181,MAINTENANCE
March,PILOT 250 MM (KOMPOR HIGH PREASURE),,20.0,43,MAINTENANCE
March,PILOT BURNER F/BUNSEN,,50.0,161,MAINTENANCE
March,PILOT SW 9000 (SP),,20.0,22,MAINTENANCE
March,PIRING HAWAI BLACK,8160.0,8720.0,18510,
March,PISAU BUAH BESAR,193.0,160.0,107,
March,PISAU BUAH KECIL,158.0,150.0,199,
March,PISAU GILING DAGING,78.0,30.0,197,
March,PRAXIS KEEPER UK 900ML,97.0,136.0,216,
March,PUMP DISPENSER,8.0,,32,
March,RAK GALON OJOL,11.0,,29,
March,RAK KONTAINER KECIL,21.0,78.0,102,
March,RAK MUKENA,8.0,,32,
March,RAK PENITIPAN BARANG CUSTOMER,8.0,25.0,32,
March,RAK SEPATU KARYAWAN,32.0,84.0,117,
March,REGULATOR,28.0,50.0,78,MAINTENANCE
March,SAFETY GAS COOK (GASVALVE GS3878)8325183,,35.0,148,MAINTENANCE
March,SAFETY GAS VALVE WITH INLET BRACKET&SREW,,,,MAINTENANCE
March,SAJADAH,26.0,,19,
March,SARINGAN MIE,1874.0,3100.0,2477,
March,SARINGAN MINYAK,120.0,104.0,181,
March,SARINGAN TEH GACOAN,87.0,170.0,448,
March,SARUNG,26.0,,19,
March,SCALE OFF (PEMBERSIH TANGKI BOILER),181.0,200.0,263,
March,SEAL PACK 3.5 LTR/3500 ML,735.0,1344.0,753,
March,SEAL PACK DIMSUM,2275.0,3276.0,1703,
March,SEAL PACK POWDER,351.0,432.0,365,
March,SENDOK ES STAINLESS,113.0,360.0,367,
March,SENDOK MAKAN STAINLESS,12.0,10.0,600,
March,SENDOK TAKAR 12 GRM,50.0,,36,
March,SENDOK TAKAR PLASTIK,125.0,400.0,387,
March,SENDOK TAKAR STAINLESS,301.0,750.0,781,
March,SEROK BESAR KAWAT,115.0,115.0,35,
March,SEROK ICE,86.0,,344,
March,SHAKER 750,184.0,350.0,417,
March,SPATULA MIE IBLIS ( SODET COKLAT ),132.0,64.0,380,
March,SPATULA STAINLESS,240.0,200.0,249,
March,STEMPEL,106.0,350.0,375,
March,STICK PENGGANTI LAMPU,8.0,,9,
March,STIK DRUM,228.0,430.0,404,
March,STRAINER BOWL STAINLESS LUBANG BASKOM KECIL,160.0,500.0,640,
March,SUTIL,72.0,90.0,83,
March,TALENAN PLASTIK,71.0,96.0,87,
March,TANGGA 3 METER,8.0,24.0,30,
March,TANGKI BOILER,,14.0,14,MAINTENANCE
March,TEKO BESAR ( BIANG TEH ),48.0,110.0,111,
March,TEMPAT SAMPAH 80 L (TERTUTUP & INJAK),29.0,152.0,91,
March,TEMPAT SAMPAH ABU-ABU 20 LTR,143.0,100.0,51,
March,TEMPAT SAMPAH BESAR UK 80 LTR,19.0,42.0,47,
March,TEMPAT SAMPAH KECIL UK 10 LTR,134.0,130.0,48,
March,TEMPAT SENDOK,12.0,,24,
March,TEMPAT SENDOK FELICIA JUMBO,24.0,75.0,96,
March,TEMPAT TIMER,25.0,,,
March,TERMOGUN,61.0,200.0,245,
March,TERMOMETER,125.0,333.0,262,
March,TERMOS AIR,39.0,102.0,94,
March,THERMOCOUPLE,,40.0,146,MAINTENANCE
March,"THERMOCOUPLE 2C 24"" GS 2185 (GRIDLE)",,,,MAINTENANCE
March,TIMBANGAN 100 KG,22.0,,12,
March,TIMBANGAN DIGITAL FORTUNO 30 KG,49.0,210.0,460,
March,TIMBANGAN DIGITAL KECIL,8.0,,8,
March,TIMER DIGITAL,1617.0,3280.0,1801,
March,TOOL BOX,12.0,30.0,32,
March,TOPLES UK 18 LTR,912.0,1200.0,428,
March,TOPLES UK 4 LTR,286.0,792.0,570,
March,TOPLES UK 9 LTR,538.0,792.0,397,
March,TOWEL,3582.0,9360.0,19953,
March,TROLLI CLEAR UP,46.0,5.0,58,
March,TROLLI LOADING,15.0,15.0,13,
March,WAJAN BESI UK 50',56.0,65.0,51,
March,WAJAN BESI UK 70',40.0,65.0,70,
April,AKRILIC PRINTER,47.0,,376,
April,ALAT PEL,48.0,180.0,206,
April,ALAT PEMADAM KEBAKARAN ( APAR ),7.0,,6,
April,AMBRO FLATWARE BASKET,9.0,49.0,72,
April,APAR POWDER 3KG,14.0,,12,
April,APAR TIPE K 6KG,7.0,,6,
April,ASBAK,267.0,540.0,577,
April,BABY CHAIR,14.0,,32,
April,BAK THAWING BULAT 80 L,19.0,,12,
April,BALON WHISK,33.0,,79,
April,BASKOM KOTAK BESAR,270.0,192.0,442,
April,BASKOM STAINLESS 12 CM,46.0,50.0,208,
April,BASKOM STAINLESS 18 CM,93.0,180.0,271,
April,BASKOM STAINLESS UK 14 CM,21.0,,128,
April,BASKOM STAINLESS UK 26 CM,66.0,,48,
April,BILL HOLDER,64.0,210.0,427,
