Quarter,Nama Barang,AVG PICK UP,AVG PEMBELIAN,AVG SALDO AKHIR,HARGA PEMBELIAN TERAKHIR,TOTAL [PEMBELIAN],OVERSTOCK,BUFFER STOCK,TOTAL [SALDO AKHIR],ANGKA STANDART BARU,OVERSTOCK [ANGKA STANDART BARU],ANGKA STANDART LAMA,Kategori,OVERSTOCK [ANGKA STANDART LAMA]
Q4,COOL BOX 55LTR,11.0,13.0,35.0,790000.0,10270000.0,OVER,6.0,27650000.0,17.0,OVER,22,,OVER
Q4,DIGITAL CALIPER,14.0,1.0,97.0,405136.17,405136.17,OK,9.0,39298208.49,23.0,OVER,27,,OVER
Q4,DISPENSER,18.0,14.0,39.0,193000.0,2702000.0,OK,13.0,7527000.0,31.0,OVER,55,,LOW
Q4,DISPENSER SABUN KRISBOW,45.0,4.0,442.0,162330.4365,649321.746,OK,27.0,71750052.933,72.0,OVER,104,,OVER
Q4,DITEKTOR UANG PALSU,29.0,33.0,78.0,75000.0,2475000.0,OVER,12.0,5850000.0,41.0,OVER,51,,OVER
Q4,DUST BIN KUNING 240 LTR (TEMPAT SAMPAH),25.0,54.0,60.0,565000.0,30510000.0,OVER,23.0,33900000.0,48.0,OVER,102,,LOW
Q4,DUSTBIN STAINLESS BULAT,12.0,1.0,121.0,226775.95,226775.95,OK,9.0,27439889.950000003,21.0,OVER,27,,OVER
Q4,EMBER,3.0,,111.0,249900.0,,OK,2.0,27738900.0,5.0,OVER,27,,OVER
Q4,EMBER 6 GL,18.0,16.0,44.0,80000.0,1280000.0,OK,8.0,3520000.0,26.0,OVER,55,,LOW
Q4,EROS MELAMINE UK BESAR,26.0,41.0,49.0,13241.76,542912.16,OVER,17.0,648846.24,43.0,OVER,52,,LOW
Q4,EROS STAINLESS UK 30 CC,45.0,4.0,221.0,29443.23,117772.92,OK,31.0,6506953.83,76.0,OVER,81,,OVER
Q4,EROS STAINLESS UK 60 CC,27.0,2.0,130.0,28128.7,56257.4,OK,16.0,3656731.0,43.0,OVER,67,,OVER
Q4,EROS STAINLESS UK 90 CC,29.0,2.0,111.0,34958.33,69916.66,OK,20.0,3880374.6300000004,49.0,OVER,72,,OVER
Q4,EROS STAINLESS UK BESAR,16.0,1.0,66.0,44998.92,44998.92,OK,7.0,2969928.7199999997,23.0,OVER,26,,OVER
Q4,FILLING KABINET,10.0,11.0,41.0,1603347.217,17636819.387,OVER,8.0,65737235.897,18.0,OVER,36,,OK
Q4,FOOD PAN KECIL,27.0,14.0,76.0,27489.04,384846.56,OK,17.0,2089167.04,44.0,OVER,69,,OK
Q4,GARPU ADUKAN MIE,168.0,1116.0,1542.0,61434.38,68560768.08,OVER,131.0,94731813.96,299.0,OVER,257,,OVER
Q4,GARPU MAKAN,16.0,,720.0,27500.0,,OK,8.0,19800000.0,24.0,OVER,23,,OVER
