CAB,MONTH,SOURCE,KAT,NOM
BKSJAT,01-May-24,INVOICE,GRAB FOOD,380121564
BKSJAT,01-May-24,INVOICE,QRIS SHOPEE,398890535
BKSJAT,01-May-24,INVOICE,SHOPEEPAY,967831305
BKSJAT,01-May-24,WEB,GO RESTO,509373745
BKSJAT,01-May-24,WEB,GRAB FOOD,380632367
BKSJAT,01-May-24,WEB,QRIS SHOPEE,398441000
BKSJAT,01-May-24,WEB,SHOPEEPAY,971048366
BKSJUA,01-Feb-24,INVOICE,GO RESTO,478722918
BKSJUA,01-Feb-24,INVOICE,GRAB FOOD,467469925.1
BKSJUA,01-Feb-24,INVOICE,QRIS SHOPEE,262508100
BKSJUA,01-Feb-24,INVOICE,SHOPEEPAY,1021684638
BKSJUA,01-Feb-24,WEB,GO RESTO,481427500
BKSJUA,01-Feb-24,WEB,GRAB FOOD,467563661
BKSJUA,01-Feb-24,WEB,QRIS SHOPEE,262669000
BKSJUA,01-Feb-24,WEB,SHOPEEPAY,1025149500
BKSJUA,01-Jan-24,INVOICE,GO RESTO,631646000
BKSJUA,01-Jan-24,INVOICE,GRAB FOOD,472166385.8
BKSJUA,01-Jan-24,INVOICE,QRIS SHOPEE,307689500
BKSJUA,01-Jan-24,INVOICE,SHOPEEPAY,1079875510
BKSJUA,01-Jan-24,WEB,CASH,2076621000
BKSJUA,01-Jan-24,WEB,EDC,235780000
BKSJUA,01-Jan-24,WEB,GO RESTO,635321000
BKSJUA,01-Jan-24,WEB,GRAB FOOD,476145364
BKSJUA,01-Jan-24,WEB,QRIS SHOPEE,308692000
BKSJUA,01-Jan-24,WEB,SHOPEEPAY,1086870000
CBICIB,01-Apr-24,INVOICE,GO RESTO,152733272
CBICIB,01-Apr-24,INVOICE,GRAB FOOD,218113288.2
CBICIB,01-Apr-24,INVOICE,QRIS ESB,10787500
CBICIB,01-Apr-24,INVOICE,QRIS SHOPEE,285403000
CBICIB,01-Apr-24,INVOICE,SHOPEEPAY,652848339
CBICIB,01-Apr-24,WEB,GO RESTO,152955000
CBICIB,01-Apr-24,WEB,GRAB FOOD,219963264
CBICIB,01-Apr-24,WEB,QRIS ESB,10822000
CBICIB,01-Apr-24,WEB,QRIS SHOPEE,285315500
CBICIB,01-Apr-24,WEB,SHOPEEPAY,653547500
CBICIB,01-Aug-24,INVOICE,GO RESTO,158601361
CBICIB,01-Aug-24,INVOICE,GRAB FOOD,170782206.5
CBICIB,01-Aug-24,INVOICE,QRIS ESB,15875500
CBICIB,01-Aug-24,INVOICE,QRIS SHOPEE,385239500
CBICIB,01-Aug-24,INVOICE,SHOPEEPAY,806966350
CBICIB,01-Aug-24,WEB,CASH,1601216500
CBICIB,01-Aug-24,WEB,EDC,70181000
CBICIB,01-Aug-24,WEB,GO RESTO,158633500
CBICIB,01-Aug-24,WEB,GRAB FOOD,172241635
CBICIB,01-Aug-24,WEB,QRIS ESB,15775500
CBICIB,01-Aug-24,WEB,QRIS SHOPEE,384984500
CBICIB,01-Aug-24,WEB,SHOPEEPAY,808321500
CBICIB,01-Feb-24,INVOICE,GO RESTO,126727005
CBICIB,01-Feb-24,INVOICE,GRAB FOOD,166024571
CBICIB,01-Feb-24,INVOICE,QRIS ESB,19095500
CBICIB,01-Feb-24,INVOICE,SHOPEEPAY,845994551
CBICIB,01-Feb-24,WEB,GO RESTO,126874500
CBICIB,01-Feb-24,WEB,GRAB FOOD,170465000
CBICIB,01-Feb-24,WEB,QRIS ESB,19095500
CBICIB,01-Feb-24,WEB,SHOPEEPAY,846956500
CBICIB,01-Jul-24,INVOICE,GO RESTO,186056196
CBICIB,01-Jul-24,INVOICE,GRAB FOOD,154311873
CBICIB,01-Jul-24,INVOICE,QRIS ESB,17533000
CBICIB,01-Jul-24,INVOICE,QRIS SHOPEE,315339209
CBICIB,01-Jul-24,INVOICE,SHOPEEPAY,638125315
CBICIB,01-Jul-24,WEB,CASH,1717747000
CBICIB,01-Jul-24,WEB,EDC,51269000
CBICIB,01-Jul-24,WEB,GO RESTO,186261500
CBICIB,01-Jul-24,WEB,GRAB FOOD,154949245
CBICIB,01-Jul-24,WEB,QRIS ESB,17533000
CBICIB,01-Jul-24,WEB,QRIS SHOPEE,315224500
CBICIB,01-Jul-24,WEB,SHOPEEPAY,638449000
CBICIB,01-Jun-24,INVOICE,GO RESTO,219579880
CBICIB,01-Jun-24,INVOICE,GRAB FOOD,208139430
CBICIB,01-Jun-24,INVOICE,QRIS ESB,41045000
CBICIB,01-Jun-24,INVOICE,QRIS SHOPEE,319798580
CBICIB,01-Jun-24,INVOICE,SHOPEEPAY,774138620
CBICIB,01-Jun-24,WEB,CASH,1685078000
CBICIB,01-Jun-24,WEB,EDC,77350500
CBICIB,01-Jun-24,WEB,GO RESTO,219470500
CBICIB,01-Jun-24,WEB,GRAB FOOD,209172137
CBICIB,01-Jun-24,WEB,QRIS ESB,41045000
CBICIB,01-Jun-24,WEB,QRIS SHOPEE,319716000
CBICIB,01-Jun-24,WEB,SHOPEEPAY,773775500
CBICIB,01-Mar-24,INVOICE,GO RESTO,110312667
CBICIB,01-Mar-24,INVOICE,GRAB FOOD,171717140
CBICIB,01-Mar-24,INVOICE,QRIS ESB,15045000
CBICIB,01-Mar-24,INVOICE,QRIS SHOPEE,285878500
