Month,PIC,Pemasok,Kategori Pemasok,Kategori Barang,Nama Cabang,Kode #,#Prime.Qty,#Purch.Total,min,max
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200746,12000,500000,41.666666,41.666666
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200196,2000,700000,350,350
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200198,12000,4200000,350,350
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200199,12,780000,65000,65000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200201,2,60000,30000,30000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200207,17,306000,18000,18000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200208,27,1107000,41000,41000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200209,24000,2976000,124,124
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200210,9000,1215000,120,142.5
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200212,53000,17490000,330,330
January,LAINNYA,BLACK TALOKITE,NON-BAHAN,Biaya Ongkos Kirim [NPCR],PIKBZU,410029,1,50000,50000,50000
January,LAINNYA,BLACK TALOKITE,NON-BAHAN,Biaya Ongkos Kirim [NPCR],HZERZV,410029,1,50000,50000,50000
January,LAINNYA,BLACK TALOKITE,NON-BAHAN,Biaya Ongkos Kirim [NPCR],LDFANO,410029,1,50000,50000,50000
January,LAINNYA,BLACK TALOKITE,NON-BAHAN,Biaya Ongkos Kirim [NPCR],HLCMCQ,410029,1,50000,50000,50000
